"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Jason Myers",SEA,"1","2","1.3","0.5"
"2","Ka'imi Fairbairn",HOU,"1","2","1.5","0.5"
"3","Eddy Pineiro",SF,"2","8","4.3","2.6"
"4","Harrison Mevis",LAR,"3","5","4.3","0.9"
"5","Wil Lutz",DEN,"3","6","4.7","1.3"
"6","Matt Prater",BUF,"4","7","5.7","1.3"
"7","Cairo Santos",CHI,"4","8","6.0","1.6"
"8","Andy Borregales",NE,"4","7","5.5","1.5"
