"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Puka Nacua",LAR,"1","2","1.3","0.4"
"2","Jaxon Smith-Njigba",SEA,"1","3","2.0","0.7"
"3","Davante Adams",LAR,"3","4","3.3","0.4"
"4","Courtland Sutton",DEN,"2","9","5.0","2.5"
"5","Jauan Jennings",SF,"5","10","6.8","1.9"
"6","Khalil Shakir",BUF,"5","9","6.8","1.8"
"7","Luther Burden III",CHI,"7","12","8.3","2.2"
"8","DJ Moore",CHI,"8","14","10.0","2.4"
"9","Demarcus Robinson",SF,"7","16","10.3","3.5"
"10","Rome Odunze",CHI,"6","13","10.5","2.9"
"11","Stefon Diggs",NE,"4","11","7.0","2.9"
"12","Troy Franklin",DEN,"14","17","15.3","1.1"
"13","Cooper Kupp",SEA,"11","19","15.8","3.4"
"14","Christian Kirk",HOU,"8","13","11.0","2.2"
"15","Jayden Higgins",HOU,"11","12","11.7","0.5"
"16","Marvin Mims Jr.",DEN,"10","22","18.0","4.7"
"17","Brandin Cooks",BUF,"13","23","18.5","3.6"
"18","Ricky Pearsall",SF,"11","16","14.0","2.2"
"19","Kayshon Boutte",NE,"14","17","15.7","1.3"
"20","Keon Coleman",BUF,"15","26","22.5","4.4"
"21","Rashid Shaheed",SEA,"17","20","18.3","1.3"
""
"22","Olamide Zaccheaus",CHI,"18","32","24.0","5.1"
"23","Nico Collins",HOU,"4","21","12.5","8.5"
"24","Kendrick Bourne",SF,"16","27","22.3","4.6"
"25","Xavier Hutchinson",HOU,"21","25","22.7","1.7"
"26","Tyrell Shavers",BUF,"23","24","23.3","0.5"
"27","Kyle Williams",NE,"20","28","24.7","3.4"
"28","Pat Bryant",DEN,"18","27","22.5","4.5"
"29","Konata Mumpfield",LAR,"19","34","27.3","6.2"
"30","Gabe Davis",BUF,"17","30","23.5","6.5"
"31","Tutu Atwell",LAR,"20","33","28.0","5.7"
"32","Xavier Smith",LAR,"21","35","29.3","6.0"
"33","Skyy Moore",SF,"22","35","29.3","5.4"
"34","Devin Duvernay",CHI,"26","34","29.7","3.3"
"35","Jaylin Noel",HOU,"25","33","29.0","4.0"
"36","Javon Baker",SF,"23","36","29.5","6.5"
"37","Jacob Cowing",SF,"25","37","31.0","6.0"
"38","Efton Chism III",NE,"28","39","33.5","5.5"
"39","DeMario Douglas",NE,"30","38","34.0","4.0"
"40","Jordan Whittington",LAR,"36","40","38.0","2.0"
