"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Matthew Stafford",LAR,"1","1","1.0","0.0"
"2","Drake Maye",NE,"2","2","2.0","0.0"
"3","Sam Darnold",SEA,"3","3","3.0","0.0"
"4","Jarrett Stidham",DEN,"4","4","4.0","0.0"
"5","Jimmy Garoppolo",LAR,"5","5","5.0","0.0"
