"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Jason Myers",SEA,"1","1","1.0","0.0"
"2","Andy Borregales",NE,"2","3","2.5","0.5"
"3","Wil Lutz",DEN,"2","4","3.0","1.0"
"4","Harrison Mevis",LAR,"3","4","3.5","0.5"
