"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","New England Patriots",NE,"1","1","1.0","0.0"
"2","Denver Broncos",DEN,"2","3","2.7","0.5"
"3","Seattle Seahawks",SEA,"2","4","3.0","0.8"
"4","Los Angeles Rams",LAR,"2","4","3.3","0.9"
