"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Hunter Henry",NE,"1","2","1.5","0.5"
"2","AJ Barner",SEA,"1","4","2.3","1.1"
"3","Colby Parkinson",LAR,"1","3","2.5","0.9"
"4","Terrance Ferguson",LAR,"3","6","4.8","1.1"
"5","Tyler Higbee",LAR,"4","6","5.3","0.8"
"6","Evan Engram",DEN,"4","5","4.3","0.5"
"7","Austin Hooper",NE,"7","7","7.0","0.0"
"8","Adam Trautman",DEN,"8","8","8.0","0.0"
"9","Nate Adkins",DEN,"7","10","9.0","1.4"
"10","Davis Allen",LAR,"9","9","9.0","0.0"
"11","Eric Saubert",SEA,"12","12","12.0","0.0"
