"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Jaxon Smith-Njigba",SEA,"1","1","1.0","0.0"
"2","Stefon Diggs",NE,"2","3","2.2","0.4"
"3","Kayshon Boutte",NE,"2","3","2.8","0.4"
"4","Rashid Shaheed",SEA,"4","4","4.0","0.0"
"5","Cooper Kupp",SEA,"5","6","5.3","0.5"
"6","Mack Hollins",NE,"5","6","5.6","0.5"
"7","Kyle Williams",NE,"6","9","7.2","0.9"
"8","DeMario Douglas",NE,"7","9","8.0","0.6"
"9","Jake Bobo",SEA,"8","9","8.6","0.5"
"10","Efton Chism III",NE,"10","10","10.0","0.0"
"11","Dareke Young",SEA,"11","11","11.0","0.0"
"12","Velus Jones Jr.",SEA,"12","12","12.0","0.0"
