"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Hunter Henry",NE,"1","1","1.0","0.0"
"2","AJ Barner",SEA,"2","3","2.3","0.5"
"3","Nick Kallerup",SEA,"2","4","2.8","0.8"
"4","Austin Hooper",NE,"3","5","4.2","0.8"
"5","Brady Russell",SEA,"4","7","5.0","1.1"
"6","Eric Saubert",SEA,"6","6","6.0","0.0"
"7","Jack Westover",NE,"5","7","6.6","0.8"
