"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Kenneth Walker III",SEA,"1","2","1.2","0.4"
"2","Rhamondre Stevenson",NE,"2","3","2.2","0.4"
"3","TreVeyon Henderson",NE,"3","4","3.5","0.5"
"4","George Holani",SEA,"3","5","4.0","0.6"
"5","Zach Charbonnet",SEA,"1","3","2.0","1.0"
"6","Cam Akers",SEA,"5","6","5.6","0.5"
"7","D'Ernest Johnson",NE,"5","5","5.0","0.0"
"8","Terrell Jennings",NE,"7","7","7.0","0.0"
