player,position,team,rank,passingYards,passingTDs,interceptions,rushingYards,rushingTDs,receptions,receivingYards,receivingTDs,fieldGoals,extraPoints,pointsAllowed,sacks,defensiveInterceptions,fumbleRecoveries,defensiveTDs
Quentin Johnston,WR,LAC,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Williams,WR,NE,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Austin III,WR,PIT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Hutchinson,WR,HOU,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konata Mumpfield,WR,LAR,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Golden,WR,GB,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendrick Bourne,WR,SF,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeMario Douglas,WR,NE,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olamide Zaccheaus,WR,CHI,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Harris,WR,LAC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efton Chism III,WR,NE,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,PIT,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demarcus Robinson,WR,SF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Shavers,WR,BUF,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Wilson,WR,PIT,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,WR,BUF,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Valdes-Scantling,WR,PIT,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Smith,WR,LAR,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tutu Atwell,WR,LAR,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Patrick,WR,JAX,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotty Miller,WR,PIT,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Palmer,WR,BUF,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Whittington,WR,LAR,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahan Dotson,WR,PHI,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Trammell,WR,JAX,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Kittle,TE,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas Goedert,TE,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Henry,TE,NE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
