"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Kenneth Walker III",SEA,"1","4","1.8","1.3"
"2","Kyren Williams",LAR,"1","2","1.8","0.4"
"3","RJ Harvey",DEN,"2","4","3.3","0.8"
"4","Rhamondre Stevenson",NE,"3","5","3.8","0.8"
"5","TreVeyon Henderson",NE,"5","7","5.5","0.9"
"6","Blake Corum",LAR,"6","6","6.0","0.0"
"7","Jaleel McLaughlin",DEN,"7","8","7.3","0.5"
"8","Zach Charbonnet",SEA,"3","3","3.0","0.0"
"9","J.K. Dobbins",DEN,"7","7","7.0","0.0"
"10","Ronnie Rivers",LAR,"8","8","8.0","0.0"
"11","Tyler Badie",DEN,"9","9","9.0","0.0"
"12","Jarquez Hunter",LAR,"9","9","9.0","0.0"
"13","Adam Prentice",DEN,"10","10","10.0","0.0"
